CustomerID,Country,transactions,unique_invoices,unique_products_purchased,total_quantity,total_spent,avg_transaction_value,first_purchase_date,last_purchase_date,returns_count
NaN,United Kingdom,133600,3637,3808,255296,1419932.9700001366,10.628240793414196,2010-12-01,2011-12-09,1659
14646.0,Netherlands,2085,77,703,196719,279489.0199999997,134.0474916067145,2010-12-20,2011-12-08,5
18102.0,United Kingdom,433,62,151,64122,256438.4899999999,592.2366974595841,2010-12-07,2011-12-09,2
17450.0,United Kingdom,351,55,127,69029,187482.16999999998,534.1372364672364,2010-12-07,2011-12-01,14
14911.0,EIRE,5903,248,1794,77180,132572.6200000001,22.4585160088091,2010-12-01,2011-12-08,226
12415.0,Australia,778,26,444,77242,123725.44999999998,159.0301413881748,2011-01-06,2011-11-15,62
14156.0,EIRE,1420,66,716,57025,113384.13999999998,79.84798591549294,2010-12-02,2011-11-30,20
17511.0,United Kingdom,1076,46,467,63012,88125.38,81.90091078066915,2010-12-01,2011-12-07,113
16684.0,United Kingdom,281,31,120,49390,65892.08,234.49138790035587,2010-12-16,2011-12-05,4
13694.0,United Kingdom,585,60,369,61803,62653.09999999999,107.09931623931622,2010-12-01,2011-12-06,17
15311.0,United Kingdom,2491,118,571,37720,59419.34000000001,23.853608992372546,2010-12-01,2011-12-09,112
13089.0,United Kingdom,1857,118,636,30787,57385.88000000005,30.902466343564917,2010-12-05,2011-12-07,39
14096.0,United Kingdom,5128,34,1121,16335,57120.90999999981,11.139023010920399,2011-08-30,2011-12-05,17
15061.0,United Kingdom,410,55,71,28590,54228.74,132.26521951219513,2010-12-02,2011-12-06,7
17949.0,United Kingdom,79,52,29,27571,52750.840000000004,667.7321518987342,2010-12-03,2011-12-08,9
15769.0,United Kingdom,147,29,26,27660,51823.72,352.54231292517005,2010-12-03,2011-12-02,17
16029.0,United Kingdom,274,76,46,32148,50992.60999999999,186.10441605839412,2010-12-01,2011-11-01,32
14298.0,United Kingdom,1640,45,884,58021,50862.439999999944,31.013682926829233,2010-12-14,2011-12-06,3
14088.0,United Kingdom,590,14,379,12593,50415.490000000005,85.44998305084746,2011-01-21,2011-11-29,1
17841.0,United Kingdom,7983,169,1331,22865,40340.77999999999,5.053335838657145,2010-12-01,2011-12-08,136
13798.0,United Kingdom,439,63,115,23514,36351.420000000006,82.80505694760821,2010-12-02,2011-12-08,90
16422.0,United Kingdom,399,75,72,32592,33805.69,84.72604010025063,2010-12-05,2011-11-22,30
12931.0,United Kingdom,102,20,29,23377,33462.810000000005,328.0667647058824,2010-12-17,2011-11-18,20
16013.0,United Kingdom,151,54,34,13845,33366.25,220.9685430463576,2010-12-03,2011-12-06,12
15838.0,United Kingdom,169,21,56,9007,33350.76,197.341775147929,2010-12-02,2011-11-28,2
17389.0,United Kingdom,224,43,48,7430,31300.08,139.73250000000002,2011-01-04,2011-12-09,11
17404.0,Sweden,201,18,111,32324,30300.82,150.75034825870645,2010-12-14,2011-12-05,3
12748.0,United Kingdom,4642,224,1769,24210,29072.09999999998,6.2628392934080095,2010-12-01,2011-12-09,46
13098.0,United Kingdom,605,41,163,15911,28658.879999999997,47.37004958677686,2011-01-26,2011-12-08,33
13081.0,United Kingdom,1061,21,511,19021,27964.47999999999,26.356720075400556,2010-12-03,2011-12-08,33
13408.0,United Kingdom,501,81,236,16119,27487.409999999996,54.86508982035927,2010-12-01,2011-12-08,23
14680.0,United Kingdom,320,23,83,12474,26932.34,84.1635625,2010-12-03,2011-11-14,62
17857.0,United Kingdom,56,25,19,19086,26763.339999999997,477.91678571428565,2010-12-09,2011-12-06,2
16333.0,United Kingdom,45,22,9,32184,26626.8,591.7066666666667,2011-02-03,2011-12-02,0
13777.0,United Kingdom,219,41,40,12804,25748.35,117.57237442922374,2010-12-01,2011-12-09,22
15749.0,United Kingdom,15,4,6,9014,21535.9,1435.7266666666667,2011-01-11,2011-04-18,5
16210.0,United Kingdom,123,18,74,7559,21086.3,171.43333333333334,2010-12-01,2011-12-08,0
12753.0,Japan,230,11,132,11250,21024.010000000002,91.4087391304348,2010-12-12,2011-12-06,33
17381.0,United Kingdom,110,30,40,25646,20272.430000000004,184.29481818181821,2010-12-02,2011-12-01,1
17675.0,United Kingdom,721,41,240,8278,20098.100000000002,27.875312066574207,2010-12-07,2011-12-08,16
15039.0,United Kingdom,1508,52,408,9191,19786.439999999988,13.120981432360734,2010-12-06,2011-11-30,6
12731.0,France,277,14,109,8366,18793.409999999996,67.84624548736461,2010-12-10,2011-11-16,3
12471.0,Germany,531,49,152,7965,18740.919999999995,35.29363465160074,2010-12-02,2011-12-07,71
15159.0,United Kingdom,720,34,363,11394,18573.680000000008,25.796777777777788,2010-12-13,2011-12-08,10
12678.0,France,167,13,105,10899,17588.260000000006,105.31892215568865,2010-12-21,2011-10-28,2
17428.0,United Kingdom,343,33,255,9435,17078.449999999997,49.79139941690961,2010-12-06,2011-12-09,15
13881.0,United Kingdom,180,22,72,10062,16989.52,94.38622222222223,2011-02-01,2011-12-06,2
13767.0,United Kingdom,399,52,55,7258,16945.709999999995,42.47045112781954,2010-12-01,2011-12-07,31
12921.0,United Kingdom,741,50,233,9454,16389.739999999994,22.118407557354917,2010-12-01,2011-12-06,21
12901.0,United Kingdom,125,36,32,20915,16293.100000000002,130.34480000000002,2011-03-14,2011-12-01,9
17677.0,United Kingdom,321,43,179,9725,16219.219999999996,50.52716510903426,2010-12-06,2011-12-08,17
15856.0,United Kingdom,653,31,297,10941,16173.669999999996,24.768254211332305,2010-12-09,2011-12-05,8
15189.0,United Kingdom,232,53,80,6035,15802.14,68.1126724137931,2011-01-11,2011-12-08,20
14051.0,United Kingdom,215,26,52,3741,15477.340000000002,71.98762790697675,2010-12-08,2011-12-09,5
16839.0,United Kingdom,298,39,117,8470,15357.780000000006,51.536174496644314,2010-12-05,2011-12-01,32
14031.0,United Kingdom,258,23,121,5370,14634.640000000003,56.72341085271319,2010-12-02,2011-12-02,8
15513.0,United Kingdom,314,22,183,5545,14520.08,46.24229299363057,2010-12-01,2011-11-08,6
16133.0,United Kingdom,365,46,221,8738,14305.659999999998,39.19358904109588,2011-01-25,2011-12-06,26
14866.0,United Kingdom,103,13,30,6569,14197.450000000004,137.83932038834956,2010-12-08,2011-11-29,4
16705.0,United Kingdom,284,29,135,5458,13946.130000000001,49.106091549295776,2010-12-16,2011-12-09,14
12681.0,France,646,27,267,7518,13677.590000000004,21.1727399380805,2010-12-07,2011-11-25,8
12621.0,Germany,474,23,261,7404,13612.069999999998,28.717447257383963,2010-12-09,2011-12-08,7
12433.0,Norway,420,7,219,11071,13375.869999999999,31.84730952380952,2010-12-01,2011-12-09,0
12540.0,Spain,481,19,278,6677,13309.039999999997,27.669521829521823,2010-12-13,2011-11-20,3
12477.0,Germany,308,9,192,3620,13117.009999999998,42.5876948051948,2011-02-01,2011-11-17,8
17735.0,United Kingdom,690,19,319,8439,13110.02000000001,19.00002898550726,2010-12-07,2011-12-07,0
NaN,EIRE,711,41,380,6308,12991.6,18.27229254571027,2010-12-03,2011-12-01,55
14258.0,United Kingdom,112,10,58,7098,12650.079999999998,112.94714285714284,2011-01-06,2011-11-30,1
15640.0,United Kingdom,495,17,241,6572,12433.34,25.117858585858585,2010-12-02,2011-12-05,11
13078.0,United Kingdom,380,43,96,5557,12432.279999999999,32.71652631578947,2010-12-08,2011-12-08,22
15498.0,United Kingdom,523,35,362,6084,12396.460000000003,23.702600382409184,2010-12-07,2011-12-09,11
16000.0,United Kingdom,9,3,9,5110,12393.7,1377.0777777777778,2011-12-07,2011-12-07,0
12682.0,France,525,31,209,5575,12288.220000000001,23.406133333333337,2010-12-03,2011-12-06,0
12557.0,Spain,33,5,15,4384,11990.960000000001,363.36242424242425,2010-12-03,2011-11-23,0
16525.0,United Kingdom,200,29,75,6493,11895.57,59.47785,2010-12-08,2011-12-07,17
17340.0,United Kingdom,424,16,231,5902,11891.180000000002,28.04523584905661,2010-12-08,2011-11-30,17
