Word,Count,Percentage
data,8,10.526315789473683
big,5,6.578947368421052
processing,5,6.578947368421052
distributed,3,3.9473684210526314
computing,2,2.631578947368421
datasets,2,2.631578947368421
frameworks,2,2.631578947368421
information,2,2.631578947368421
is,2,2.631578947368421
mapreduce,2,2.631578947368421
requires,2,2.631578947368421
we,2,2.631578947368421
analytics,1,1.3157894736842104
analyze,1,1.3157894736842104
and,1,1.3157894736842104
are,1,1.3157894736842104
at,1,1.3157894736842104
better,1,1.3157894736842104
decisions,1,1.3157894736842104
enable,1,1.3157894736842104
enables,1,1.3157894736842104
fundamental,1,1.3157894736842104
hadoop,1,1.3157894736842104
helps,1,1.3157894736842104
how,1,1.3157894736842104
insights,1,1.3157894736842104
large,1,1.3157894736842104
learning,1,1.3157894736842104
machine,1,1.3157894736842104
make,1,1.3157894736842104
massive,1,1.3157894736842104
modern,1,1.3157894736842104
new,1,1.3157894736842104
of,1,1.3157894736842104
on,1,1.3157894736842104
organizations,1,1.3157894736842104
parallel,1,1.3157894736842104
pipelines,1,1.3157894736842104
popular,1,1.3157894736842104
process,1,1.3157894736842104
revolutionizing,1,1.3157894736842104
scalable,1,1.3157894736842104
scale,1,1.3157894736842104
spark,1,1.3157894736842104
systems,1,1.3157894736842104
technologies,1,1.3157894736842104
the,1,1.3157894736842104
to,1,1.3157894736842104
transform,1,1.3157894736842104
unlocks,1,1.3157894736842104
way,1,1.3157894736842104
